,time,tweet
"RoCatchers
@RoCatchers","8:34 AM · Jun 11, 2025

155.2K
 Views","Roblox predator OfficialTacoHD tries playing public bathroom simulator IRL with our 13 year old decoy!

He came to a park where he intended to do HORRIBLE things in a bathroom. Instead he met JiDion and Schlep"
"
Schlep
@RealSchlep","7:34 AM · Oct 9, 2024
·
156.5K
 Views","Predators on Roblox are hijacking different roblox features to exchange CSAM. 

The first image is a predator who I caught from the platform who was trying to trade illegal photos with what he believed was another predator. There's SOO many of these accounts on Roblox right now."
